SecOrder,PAR,Area,kGE,Arrival_ns,Required_ns,Setup_ns,Slack_ns,Crit_ns,Fmax_GHz,CyclesPerBlock,Th_Gbps,Th_per_kGE_Gbps_per_kGE,ThPerArea,TimingRpt,AreaRpt,Model_BaseCycles,Model_Rounds,Model_XORperBlock,Model_ge_um2_per_GE
2,26,44030.520726,30.576750504166668,0.97,0.97,0.03,0.0,1.0,1.0,25,,0.16744748593550848,167.4474859355085,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,27,44268.120665,30.74175046180556,0.97,0.97,0.03,0.0,1.0,1.0,25,,0.16654874634940636,166.54874634940637,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,28,44252.640731,30.73100050763889,0.97,0.97,0.03,0.0,1.0,1.0,25,,0.16660700645679621,166.60700645679623,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,29,44518.680609,30.91575042291667,0.96,0.96,0.04,0.0,1.0,1.0,25,,0.16561137704762743,165.61137704762743,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,30,44490.600714,30.896250495833332,0.97,0.97,0.03,0.0,1.0,1.0,25,,0.16571590137419695,165.71590137419696,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,31,44613.360702,30.9815004875,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.1652599105735937,165.25991057359371,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,32,,,,,,0.0,,,25,,,,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,1,30664.440433,21.294750300694446,0.99,0.99,0.01,0.0,0.76,1.0,145,0.8827586206896552,0.041454283718972154,41.45428371897216,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,2,31799.520497,22.08300034513889,0.99,0.99,0.01,0.0,0.76,1.0,81,1.5802469135802468,0.07155942982757346,71.55942982757347,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
3,3,37688.400229,26.172500159027777,0.99,0.99,0.01,0.0,0.76,1.0,65,1.9692307692307693,0.07524045304290562,75.24045304290563,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
